p_t,ceiling_None,ceiling_ClassWeight,ceiling_B-SMOTE,ceiling_SMOTE,ceiling_ADASYN,ceiling_RUS
0.005,0.04442821458254968,0.04440118566836874,0.04451099063222883,0.04486574513085373,0.04467654273158712,0.04463994107696709
0.0074934036939313985,0.042870572446831616,0.04244388694855237,0.0425860201205663,0.043085559593836587,0.042857596002807204,0.042633695742734956
0.009986807387862798,0.041687092975404696,0.04076457093928631,0.04071541042003392,0.04137939399728467,0.0410957526440257,0.040988963429083265
0.012480211081794194,0.04054949664032671,0.039803490403197805,0.03943883612332351,0.03994215867070176,0.03978512205987195,0.03976631060084728
0.014973614775725595,0.03943272179758366,0.03885359986694491,0.03837424374217388,0.03860523216159627,0.03846785626027843,0.0388543352598727
0.01746701846965699,0.03833965482404977,0.03789888819874745,0.03756618871971102,0.03745963220241109,0.037143904730083825,0.037937731224031476
0.01996042216358839,0.03729738872334916,0.03693931860102559,0.03675585174745092,0.03648880684002298,0.036086675228121305,0.03701646316453135
0.02245382585751979,0.03627241735746785,0.035974853900764686,0.03596841458666941,0.03552405049636919,0.03509917069982271,0.03609049539213088
0.024947229551451188,0.03529862297682155,0.03501381509779258,0.03517695015929282,0.03455436000534632,0.0342431756075631,0.03515979185253063
0.027440633245382585,0.03440422809554998,0.034051821944664204,0.03438142749054961,0.03357969741712315,0.03358200787842985,0.034224316121693694
0.029934036939313985,0.0335542699386613,0.03308488348395287,0.03358181528720486,0.03285303165645257,0.03291744129164999,0.03336397158384355
0.03242744063324538,0.032699931151529325,0.032112961483957786,0.03278173049782149,0.03221808230699177,0.032249449570979555,0.032549603577064726
0.03492084432717678,0.031841177780422183,0.03117769972579713,0.03202770314758107,0.0315798520141097,0.03157800616862261,0.031747926585507596
0.037414248021108175,0.03100207513472379,0.030547892919617917,0.03126976945533101,0.0309383152817409,0.030905430948662826,0.03096923994692212
0.03990765171503958,0.030322740633104524,0.029914814839337216,0.030507898986225298,0.03029344634896213,0.03032828383536012,0.030186508738781367
