p_t,NB_calculate_all,NB_calculate_none,NB_None,NB_ClassWeight,NB_B-SMOTE,NB_SMOTE,NB_ADASYN,NB_RUS
0.005,0.04419002227633011,0.0,0.04442821458254968,0.04440118566836874,0.04420466293817812,0.04425534215226739,0.044219866702404895,0.04419002227633011
0.0074934036939313985,0.041788808885887554,0.0,0.04278301421846488,0.042307378093875005,0.0419284039655441,0.04199270230526468,0.04193940236575946,0.041788808885887554
0.009986807387862798,0.03937550031452757,0.0,0.041472917248645366,0.040454505172301244,0.03964197236913021,0.03989321633991849,0.03969298898841998,0.03937550031452757
0.012480211081794194,0.03695000494433287,0.0,0.04049763713344048,0.03858317072683801,0.03766481344104526,0.03776554142385074,0.037578606479450924,0.03695000494433287
0.014973614775725595,0.03451223022973405,0.0,0.03924170723659358,0.03673157854973491,0.03578200618372403,0.03579696917860181,0.03561640770279968,0.03451223022973405
0.01746701846965699,0.03206208268573893,0.0,0.038195717762895,0.03518168797993615,0.03395109110623756,0.033890334933284,0.033669211352255105,0.03206208268573893
0.01996042216358839,0.029599467875982242,0.0,0.03686538097784311,0.033771265823150654,0.03209970172920817,0.032061808244795584,0.031669031968681774,0.029601750143484182
0.02245382585751979,0.02712429040059236,0.0,0.036091136601425475,0.03244253473228103,0.03031796032436431,0.030156172935792123,0.02984987753930828,0.027129438222382004
0.024947229551451188,0.02463645388387196,0.0,0.03474854740234152,0.03127668676162084,0.02875207624305512,0.028414735168744435,0.02794716410774661,0.024650789113211585
0.027440633245382585,0.022135860961789107,0.0,0.033658557109617765,0.030216577778761414,0.027083592246870118,0.026523244578380945,0.026057078608946644,0.02218328622018988
0.029934036939313985,0.019622413269275447,0.0,0.033019125155341285,0.0286923764795403,0.025437615047739084,0.02474821631257516,0.024343649434904163,0.019726148366114162
0.03242744063324538,0.017096011427328035,0.0,0.031875007249764616,0.027545860345594704,0.023842634742123683,0.02307783270289767,0.022567082583854852,0.017298809268712682
0.03492084432717678,0.01455655502991119,0.0,0.031163326640149525,0.02659175865191284,0.022116059742356246,0.02152185220953342,0.02096782896273784,0.014880933652605066
0.037414248021108175,0.012003942630654754,0.0,0.030157058965804992,0.025588286773794686,0.020541085315929554,0.01999350250300579,0.019341363114518995,0.012514721774706701
0.03990765171503958,0.009438071729345146,0.0,0.029687197096717022,0.024684380072126297,0.019196840805852267,0.01861264887924919,0.017746023098831755,0.010276211609282458
0.042401055408970975,0.006858838758205345,0.0,0.028742455370610747,0.02384518721655363,0.017707581367213707,0.017189557232180346,0.016397742350059592,0.007962406126747465
0.04489445910290237,0.004266139067959904,0.0,0.028320546613505353,0.02285531765257168,0.01664443050816714,0.015755815862343814,0.014698034005646211,0.005665775084337972
0.04738786279683377,0.00165986691368121,0.0,0.02800643501819486,0.021836190543917,0.015428721131631982,0.014197505329243083,0.013064206267803663,0.0034430763937796927
0.049881266490765165,-0.0009600845595871474,0.0,0.027557703984796234,0.021073773929210338,0.014124250069499258,0.01285659938000449,0.011473250413293938,0.0010984108985782476
