Fold,Strategy,Calibration,F2,F2_tuned,Threshold,AvgPrecision,ROC-AUC,Brier,ECE,SpearmanVsRaw,nUniqueProb
1,None,raw,0.2926208651399491,0.5235602094240838,0.08,0.4160009015393531,0.8816405619247537,0.03650234152274268,0.014419886650445258,1.0,1475
1,None,sigmoid,0.25906735751295334,,,0.4160009015393531,0.8816405619247537,0.0379136507496475,0.009155109080876866,1.0,1475
1,None,isotonic,0.12362637362637363,,,0.39658295677179256,0.8802041283169171,0.03622291951382488,0.010567467189857764,0.9923648343181728,61
1,ClassWeight,raw,0.5,0.49327354260089684,0.19999999999999996,0.46569609616746505,0.8919882663221916,0.05312141787155373,0.06440888038748895,1.0,1478
1,ClassWeight,sigmoid,0.33163265306122447,,,0.46569609616746505,0.8919882663221916,0.034752531894953885,0.012511641409882543,1.0,1478
1,ClassWeight,isotonic,0.215633423180593,,,0.4437960684389119,0.8845100651272942,0.03506906484973067,0.013269097195465498,0.9842547097238441,55
1,B-SMOTE,raw,0.44935805991440797,0.44871794871794873,0.63,0.3795356594824912,0.8611402658915981,0.12022459527291485,0.2308661281710337,1.0,1200
1,B-SMOTE,sigmoid,0.0,,,0.3795356594824912,0.8611402658915981,0.0389540595299166,0.016598480559373265,1.0,1200
1,B-SMOTE,isotonic,0.22606382978723405,,,0.3732330927313071,0.8585466117659724,0.037287876410811924,0.010813145112921314,0.9926365102924656,59
1,SMOTE,raw,0.4416167664670659,0.4505169867060561,0.48999999999999994,0.38936239270145345,0.8700549006943323,0.10152776868019099,0.1805606263872607,1.0,1464
1,SMOTE,sigmoid,0.042134831460674156,,,0.38936239270145345,0.8700549006943323,0.038001706367518547,0.01514922567482113,1.0,1464
1,SMOTE,isotonic,0.2617801047120419,,,0.36512245605165,0.8679557564992734,0.03755397377327108,0.011071749810353719,0.9953665358487507,92
1,ADASYN,raw,0.4114713216957606,0.4449152542372881,0.5599999999999999,0.3686631971826659,0.8598283007696861,0.1436400769967793,0.2749399744816958,1.0,1186
1,ADASYN,sigmoid,0.0,,,0.3686631971826659,0.8598283007696861,0.039316868577319974,0.015303199850180398,1.0,1186
