Strategy,default @ 0.05,ceiling @ 0.05,scale cost @ 0.05,default @ 0.10,ceiling @ 0.10,scale cost @ 0.10,default @ 0.15,ceiling @ 0.15,scale cost @ 0.15,default @ 0.20,ceiling @ 0.20,scale cost @ 0.20,default @ 0.30,ceiling @ 0.30,scale cost @ 0.30
None,0.027546249668053198,0.028309199327502994,0.0007629496594497957,0.02162857387753048,0.02268532991069142,0.0010567560331609382,0.01711316180122803,0.018205971702498266,0.0010928099012702357,0.015583308810340282,0.015772025072131827,0.00018871626179154527,0.010882548231121255,0.011333713383014166,0.00045116515189291134
ClassWeight,0.02104275304662165,0.027318535761692603,0.006275782715070954,0.0071543584448187005,0.020381945840945662,0.013227587396126962,-0.003833854280211493,0.017302920219369456,0.02113677449958095,-0.013485194086187278,0.015155709965061052,0.02864090405124833,-0.029354324830994906,0.011173643212025275,0.04052796804302018
B-SMOTE,0.014070665919477525,0.027424476973568486,0.013353811054090961,-0.0066494899144474515,0.019647319790985582,0.026296809705433036,-0.01980716256529012,0.015042015344539283,0.0348491779098294,-0.031001048785625512,0.012858524434524466,0.04385957322014998,-0.0532248664145718,0.009028582478141539,0.062253448892713344
SMOTE,0.012795850054871667,0.02781964387195497,0.015023793817083304,-0.010039137345373074,0.0197593833998734,0.029798520745246474,-0.025693051675097712,0.014791545674070775,0.04048459734916848,-0.038988843496954084,0.013250742654550885,0.052239586151504966,-0.05921139457492532,0.010213167161538965,0.06942456173646429
ADASYN,0.011398313809894926,0.027961193019813303,0.016562879209918377,-0.012559829960462237,0.018863725799967448,0.03142355576042968,-0.03085558842847954,0.01409282642904603,0.04494841485752557,-0.04503289176459429,0.012074127285824786,0.057107019050419074,-0.06578436985575711,0.00890051778197552,0.07468488763773264
RUS,0.0009990779662843814,0.027459888298241947,0.026460810331957567,-0.03615559276967135,0.019809206509323413,0.05596479927899476,-0.06298804820676472,0.01587254435000212,0.07886059255676683,-0.0825247551509379,0.013026596653315079,0.09555135180425299,-0.10912049047841443,0.008405954063210043,0.11752644454162448
