Strategy,NB @ 0.05,avoided/100 @ 0.05,NB @ 0.10,avoided/100 @ 0.10,NB @ 0.15,avoided/100 @ 0.15,NB @ 0.20,avoided/100 @ 0.20,NB @ 0.30,avoided/100 @ 0.30,Beats both refs from p_t,                    to p_t,Area over reference (p_t >= base rate)
None,0.027546249668053198,52.337874369301076,0.02162857387753048,19.46571648977743,0.01711316180122803,9.697458354029216,0.015583308810340282,6.233323524136113,0.010882548231121255,2.5392612539282924,0.005,0.95,0.006498071536558674
ClassWeight,0.02104275304662165,39.98123078858113,0.0071543584448187005,6.43892260033683,-0.003833854280211493,-2.1725174254531794,-0.013485194086187278,-5.394077634474911,-0.029354324830994906,-6.849342460565477,0.005,0.1296701846965699,-0.03396421992742572
B-SMOTE,0.014070665919477525,26.734265247007293,-0.0066494899144474515,-5.984540923002706,-0.01980716256529012,-11.224058786997734,-0.031001048785625512,-12.400419514250205,-0.0532248664145718,-12.41913549673342,0.005,0.07980211081794196,-0.05463613212226835
SMOTE,0.012795850054871667,24.312115104256165,-0.010039137345373074,-9.035223610835766,-0.025693051675097712,-14.559395949222036,-0.038988843496954084,-15.595537398781634,-0.05921139457492532,-13.815992067482574,0.005,0.07481530343007917,-0.05286615001159905
ADASYN,0.011398313809894926,21.656796238800357,-0.012559829960462237,-11.303846964416014,-0.03085558842847954,-17.484833442805073,-0.04503289176459429,-18.013156705837716,-0.06578436985575711,-15.34968629967666,0.005,0.06982849604221636,-0.05994134426273037
RUS,0.0009990779662843814,1.8982481359403245,-0.03615559276967135,-32.54003349270421,-0.06298804820676472,-35.693227317166674,-0.0825247551509379,-33.00990206037516,-0.10912049047841443,-25.461447778296698,0.01996042216358839,0.049881266490765165,-0.10744582585955101
