Strategy,raw_max,n_raw_gt_threshold,corrected_max,n_corrected_gt_0.5,ECE_corrected,F2_corrected@0.5,AP_corrected,rho_vs_raw
RUS,0.9902178645133972,111,0.8390274414486615,111,0.0049215893359083095,0.164066702528241,0.3457968917889907,1.0
ClassWeight,0.9952464699745178,77,0.9151144487575414,77,0.02357974444758245,0.15616438356164383,0.3984276689411435,1.0
