composition,n_entries
KCaCO3F,1
YTi2CdO6F,1
UAsH9O10,1
K2BaNi(NO2)6,1
H8C2SeS2(N2Cl)2,1
Li4WO5,1
Mg4Al3(HO)17,1
K2Zr2ZnH12(OF2)6,1
P4S5,1
Li2Fe(PO4)2,1
Na3DyTi2Nb2O12,1
ZnPH3O5,1
KPH2O3,1
H8C2SeS2(BrN2)2,1
CaZn2(H5O4)2,1
TeH9SN2O5F3,1
InCu(WO4)2,1
CuH16(IO8)2,1
Sb2OsC6(OF2)6,1
K3SiN(OF2)3,1
Nb10Pb14O39,1
CaBePO4F,1
SbH7(Br2O)3,1
BeP2(HO)4,1
Te2AsS4N4(ClF2)3,1
NaMn2V3(PbO6)2,1
HClO4,1
KNa6Al7Si9O32,1
Na7Al12Si12H6ClO48,1
Ca10Al6Si13N30,1
NaLi2La3Ti6O18,1
LaH6S3(NO3)3,1
Na13Zr8Si9(PO16)3,1
KCa2P4H9O17,1
K6H6S6N2O23,1
NdP3(H4O5)3,1
NaSr2NdTi4O12,1
Na3LaTi2Nb2O12,1
KGeNO,1
K2Al11Si13(Ag3O16)3,1
Na3Sr4La3Ti10O30,1
K2NaMo(OF)3,1
Li10Ge(PS6)2,1
Li10Si(PS6)2,1
Zn2P2H12O11,1
K3ZrH2S(OF)5,1
Ba2Zn(HO)6,1
K2H4PtC6S6(N3O)2,1
Rb2SiAs2,1
ReSbH4O7,1
Ca2B8H2O15,1
MgH10CO8,1
BaRe2H2O9,1
RbNa2P3(HO2)6,1
NaZn(HO)3,1
PH4SNO2,1
NiH16C4S4(N4Cl)2,1
Na2H4PtC4Br2(N2O)2,1
Na2H4RuC5(N2O)3,1
KH(IF6)2,1
LiH2BrO5,1
Ba9La3Mg5Nb7O36,1
KPH3O3F,1
LiBeH4NF4,1
Mg4Al9Cu(SiO4)9,1
ZnH8(O2F)2,1
RbYbF3,1
CsMg4Al9(SiO4)9,1
RbCdF3,1
Ca2Ga2Bi(B2O7)2,1
NaB2H5O6,1
Na6CaZr(SiO3)6,1
Sr2La2MgTi3O12,1
Na4Al3Si3B(HO3)4,1
Na2TiFe(PO4)3,1
Na2B3HO6,1
Na4MnAl3Si3O16,1
H15RhBr3N5,1
Na2Li5Al7Si29O72,1
KB5(H2O3)4,1
Na3PH24SO15,1
LiAl3Si9(N7O)2,1
Ca2P2H4O9,1
Ti5ZnBi2(Pb2O9)2,1
As4S11(N6Cl7)2,1
NaB2HO4,1
Ca2AlH10BrO8,1
H5CSO5F3,1
Ca5Si2HO9F,1
KH3(SeO3)2,1
NaCS(OF)3,1
Li11Sc7Ti(PO4)12,1
Ba3LiTi5(SbO7)3,1
BaLa7Mg5Nb3O24,1
BaP2(HO2)4,1
Rb2PH3SO8,1
NaGa(H2N)4,1
Y2Al9Si27(N15O)3,1
Co6C13(SeO6)2,1
TlCrO4,1
AlC3(NCl2)3,1
ReCl3O2,1
Al2CrCl8,1
Mg3Al2(SiO4)3,1
V2PbO6,1
S4N5Cl,1
KU2P3O14,1
NaTaGeO5,1
CsTaI6,1
NbBr3O,1
Cr(OF)2,1
Al2NiCl8,1
Cs2KYF6,1
Sc4Ti3O12,1
AgH8C4S3(OF)3,1
TlSnPS4,1
NdH12S2NO12,1
GdH6C6Cl3(O3F2)3,1
Mg3H13C9NO13,1
H24RuC8(S2Cl)2,1
KB3(HO3)2,1
Sm2SiTeO4,1
ScTl(MoO4)2,1
DyH6C6Cl3(O3F2)3,1
K2Hg(CN)4,1
GaH19C8,1
AgCSN,1
Nd3SeBrN2,1
Rb2PO3F,1
CsLiCrO4,1
Os2Pt(CO)10,1
SnS16(Cl2O)2,1
Cs3NiF7,1
Ca3InP3,1
Pb(SN)2,1
PbClF,1
RhSe2Cl7,1
K2SbF5,1
VBiO4,1
BaCu(Si2O5)2,1
PS,1
NdNO4,1
LiTiAsO5,1
CaTiSiO5,1
Zr(InBr3)2,1
Pr2Ta3(SeO4)2,1
NaHgCl3,1
NbSNCl6,1
OsC3IO3,1
K2Ge2Pb2O7,1
CsInI4,1
FeSeBr7,1
Cs3NaLi2(BO3)2,1
Tl(CO)2,1
Ho3Se3N,1
K2Zn2(SO4)3,1
CsLi(B3O5)2,1
Tb3Ga5O12,1
Ca3UO6,1
NaAsS2,1
Pr2Si2O7,1
Er2Ti2O7,1
TmPO4,1
KZnF3,1
K2HgO2,1
Li2MgMn3O8,1
Li9Bi3P8O29,1
LiSi2N3,1
LiBi2(PO4)3,1
CuH12N2(Cl2O)2,1
Na2Gd2B2O7,1
Gd2Mo(SeO4)3,1
Bi6PtBr10,1
GePb5O7,1
Ba6Nb4S13O3,1
Ba7B4Se13,1
KAg(CN)2,1
BaBi12Mo4WO34,1
La3CuGeS7,1
Cs3AlAs2,1
RbRe3Br10,1
K4Hf3Te17,1
CsMo3Br3Cl4,1
LiScO2,1
NiAs3H3OF18,1
PH9C(NO)4,1
H10PtC(N4O)2,1
FeP3(HO2)6,1
RbH5C7SO5,1
Cd(HN2)4,1
Zn(BH4)2,1
Na2NiH12(SO7)2,1
TiP4H8N2O13,1
Na2Mo(H2O3)2,1
Rb2TeH6SeO10,1
SrSi2(BO4)2,1
Na2Mg(CO3)2,1
Sm2Ti2S2O5,1
Cu4H3C2N5,1
NdAlGe2O7,1
VH4(CO3)2,1
LuP2H4NO7,1
TbCuPbSe3,1
DyCuPbSe3,1
SbH12C5N3Cl4,1
H5C2NO4,1
NaH2CSO4F3,1
CoH18C4N7O8,1
InH6(CO3)3,1
MnH12C2(NCl2)2,1
CuH12(C2N5)2,1
Sr2YNbO6,1
H6N4O9,1
SbHO3,1
Sc(HO)3,1
HoHO2,1
Al5HO8,1
U3(HO5)2,1
H5NO,1
Be(HO)2,1
Sr(H2O3)2,1
H8N2O,1
Sn3(HO2)2,1
Y(HO)3,1
H5BrO2,1
OsC3I2O3,1
Ca3Sc2(SiO4)3,1
Pr(HO)3,1
Sm(HO)3,1
AlHO2,1
Ba2TbNbO6,1
Nd(HO)3,1
NaH3O2,1
Re2H4O9,1
H5NO2,1
LiGd(PO3)4,1
NaCoPO4,1
K5Nb4O12F,1
Zn(C2N3)2,1
H7BrO3,1
Yb2S3,1
TlBCl2,1
Cs7NbIn3As5,1
MnC5BrO5,1
Ba3Y(BO3)3,1
Mn2C7S2O7,1
K3TiO4F3,1
KV(IO4)2,1
PbSeO3,1
K2Mg2(SO4)3,1
K6Cd4Sn3Se13,1
Fe2C9O7F4,1
NaInP2O7,1
CsH3O2,1
V3Pb5ClO12,1
Sr(AlCl4)2,1
Ba5Os3NO18,1
Cs4K2Cu(SiO4)2,1
NaC2N3,1
Si4H2O9,1
Ba4Na(SbO4)3,1
V3(H3O5)2,1
KTiPO5,1
Ga(HO)3,1
SrH4O3,1
LaSiBO5,1
TlHO,1
KSrVO4,1
LiTl3(MoO4)2,1
SnC2(SN)2,1
PbN6,1
Zr(Se2Cl3)2,1
Cs4CdNi3F12,1
Pb3(IO)2,1
Ba2DySbO6,1
Cu2S,1
CaCu(Si2O5)2,1
Th(InBr3)2,1
RbTa(CuTe2)2,1
Mg2Al4Si5O18,1
Li2VPO6,1
TePb2O5,1
CoI(NO)2,1
PtO2,1
Ba3Ta6(Si2O13)2,1
CsUVO6,1
PrCuSO,1
ReHgO4,1
FeC3SeO3,1
AgC2N3,1
C2SN2,1
In3Te3I,1
In2Sn3S7,1
Cd(In2I3)2,1
Ga3Cl7,1
Fe(CO)5,1
Cs3Bi2I9,1
Re3Se4Br,1
Cs3V4Te2ClO14,1
Fe2MoC10(SeO5)2,1
B6As,1
Rb3Tm2Cu4Br13,1
NaNb3O8,1
As(CN)3,1
Ba2Ta6Te2O21,1
NaSr3RuO6,1
Re3(TeBr)7,1
CsDy(MoO4)2,1
Ca2ZnSi2O7,1
Tl2Pt(CN)4,1
Ca3Co(SeO3)4,1
K3Na(MoO4)2,1
SnHg2(SBr)2,1
Te6MoBr3,1
RbV2SbO8,1
CsSO3F,1
VSb2O5,1
La2GeS5,1
Cu2WO4,1
TlAg(CN)2,1
ReC4IO4,1
BaCdGaF7,1
Si4Mo2P4O23,1
TlMo2Cl7O2,1
Rb2FeC5N6O,1
Ga2Te2Br7,1
Rb3SnP3Se11,1
PtN2,1
AuBr,1
SnH16C4(Br3N)2,1
Yb(AlCl4)2,1
K2PtC4(IN2)2,1
Sr(Li2P)2,1
Hg3AsSe4I,1
KZr6CCl15,1
Bi8AsAuCl9,1
Sm3CuSiSe7,1
Ti6Tl5AgSe27,1
Ta3Bi7O18,1
Cs3Au2Br11,1
GaSe3N2Cl5,1
MnBiPO5,1
K2Ge2Se5,1
In5AgTe8,1
BaN3Cl,1
K5Na(Ti2Se9)3,1
CuBi(PSe3)2,1
BiSeBr,1
Zr(TeCl6)2,1
Sr2IN,1
Tl2Hg2PdCl8,1
Ba2P7Cl,1
SbBr3,1
AgCl,1
Y(AlCl4)3,1
HgCN2,1
CoH3(CN)6,1
Ba(BSe3)2,1
Ba2Ge(TeSe)2,1
SbCl5,1
Nb2Tl3CuSe12,1
Si3As4,1
GaI2,1
SbSe3N2Cl7,1
SrSi7N10,1
Sm3CuSnSe7,1
CsZr6MnI14,1
CdH8C2NCl3,1
Zr(SeCl6)2,1
Rb3As7,1
Cs(BCl)6,1
SrAlSiH,1
TcBr4,1
H8C2NCl,1
Cs2LiLuCl6,1
LiSi,1
K4Sr2SnAs4,1
MnTlCl3,1
MnSbSe2I,1
Ca(BH4)2,1
CdBiSe2Br,1
Nd3CuGeSe7,1
Cd2Os(CN)6,1
GaCl2,1
K4GeSe4,1
Bi20(PtBr12)3,1
H9C4Se2N,1
Mg(B6C)2,1
KBi(PSe3)2,1
RbYbI3,1
NaAl3NiCl12,1
Tb3CuSiSe7,1
K3Cr(CN)6,1
AgTe,1
BP2N2Cl7,1
CdBr2,1
H8C2I3N,1
Mn2H30C9N3Cl7,1
In4Br7,1
Cs2NaTbCl6,1
CuH8C2(N6Cl)2,1
FeSe2NCl6,1
K9InSe7,1
KCuPSe3,1
CsErTa6Cl18,1
KHgC2IN2,1
Cu2HgI4,1
SbCNCl5,1
NaNd4I7N2,1
Nb3Sb2Te5,1
TeCl4,1
CsAuBr3,1
Hg3C2(N2Cl)2,1
TbTlSe2,1
LiCaBi,1
NaLa(GaSe2)4,1
HgN6,1
K4Sn(TeSe)2,1
Mn2Ru(CN)6,1
Bi2(PSe3)3,1
ZnB2(CN)8,1
TlPAuSe3,1
CaSiN2,1
Sm(C2N3)3,1
Cs4P2Se9,1
HoTlSe2,1
CaTe,1
Ba6NaCu3Te14,1
K3InCl6,1
TlCuPSe3,1
H3AuC2NCl,1
HfI4,1
NaW6NCl18,1
GdScO3,1
KAuCl4,1
SrMnO3,1
Mo6PbI14,1
Li3SbO4,1
NdSF,1
CsPH3O3F,1
NaC4N3,1
MgTe2O5,1
Rb3YCl6,1
Tl10Hg3Cl16,1
Hg(CN)2,1
Ba2ScCl7,1
Cs3As11,1
AlTeCl7,1
Bi8SbAuBr9,1
CsTbZnSe3,1
Ga2Os,1
Cs3BAs2,1
Ba2In2Se5,1
K2TcI6,1
CsBSe3,1
Nb2Se17Cl12,1
TePdI2,1
KNa3Al4(GeO4)4,1
Cs2GeO3,1
Gd3CuGeS7,1
Sm2Se5O13,1
ReO3F,1
MoSeCl7O,1
Cs2LiNbS4,1
TbCuS2,1
Cs2NaAl(PO4)2,1
KBiF4,1
CsLu2Cu3Se5,1
Ba3La2C5O15F2,1
TaNO,1
Cs2Nb4O11,1
Cs10Si7O9,1
Cs2Xe(BrF7)4,1
Mn(C2N3)2,1
Ga2NiCl8,1
RbNdTe2,1
Re3Se4Cl,1
Cs2KTbCl6,1
AlAgS2,1
Sr4Al6CrO16,1
La4Cu6(MoO4)9,1
Zn(GaO2)2,1
Li2U5MoO19,1
VP2NCl10O,1
P4S9,1
MoSO6,1
Ag4Mo2Se3O16,1
K3Mo12PO40,1
V2Cd4(TeO5)3,1
KVCdO4,1
Ca51W12N56O3,1
Na2GeO3,1
V2Cd6Se5O21,1
InHg6As4Cl7,1
Ca5(SiN3)2,1
KTa(AgSe2)2,1
Ge3N4,1
AlInI4,1
TaP2Se2Cl5,1
Rb5Sn(PSe5)3,1
NaHf2CuSe5,1
CuMo3Br7,1
RbAuN12,1
Hg3Te2IBr,1
Ca3(GaN2)2,1
Mg(BH4)2,1
CsNaSi2O5,1
SiH17C11N,1
Ga2BiSe4,1
Nb3Se10Cl3,1
KY(PSe3)2,1
CuP4Se4I,1
CsI4,1
Sr4Sn2Se9,1
CdBiSe2I,1
Dy2CdSe4,1
CsSiTe3,1
CsLu(NbCl3)6,1
K4Sn9,1
TeI4,1
SnICl,1
AlH14C4NOF4,1
Cs3Sm(PS4)2,1
CsUP3O11,1
V2P2PbO10,1
SeS4N3Cl5,1
Cs3SrCu2C7(SN)7,1
SbPC3S3N3Cl3O,1
Cs2Ge2S5,1
CrCu(PS3)2,1
Ga2RhC4Cl7O4,1
Cs2Sb2OF10,1
Cs2Al(NO3)5,1
KLa(PSe3)2,1
Cs2LiCl3,1
Na2LiN,1
TlHg3Sb2Br3,1
Pr5(CBr4)2,1
Cs2LiInCl6,1
Rb2PtC4(BrN2)2,1
Ga(BiBr)4,1
Pr3CCl5,1
K2Sm2As2Se9,1
Ho3CuSiSe7,1
PbIBr,1
SnI4,1
La5C2I9,1
Ag2Hg7(P4Br3)2,1
Cs2Li3Br5,1
Rb2MnCl6,1
Zr3Sc4O12,1
TaAg7S6,1
TiPb9O11,1
Rb2CrCl4,1
Mg5(AlSe4)2,1
Na3Sm7Cl24,1
Tb2YbS4,1
In4(SnO4)3,1
Y2Se3,1
Lu2Se3,1
Sn3(P2O7)2,1
SNClO4,1
In2Se3,1
ZnH8(N2Cl)2,1
Gd(C2N3)3,1
KAu(CN)2,1
RbVI3,1
AsXe2O4F9,1
UF6,1
Sr4GaCN5,1
WN18,1
TaAsPCl13,1
Na2Zn2(TeO3)3,1
TeS7Cl2,1
RuC4(IO2)2,1
K3Sc(MoO4)3,1
Sr3LiRuO6,1
CsLiSO4,1
Ca3UN4,1
Ca3(HO3)2,1
KBi2F7,1
La4Ag2Se7,1
Ba9(LaS6)2,1
NaPrS2,1
Ce3Dy2O9,1
Bi14SO24,1
Mn(CuCl2)2,1
K6InP3,1
Na2CuH4(C2O5)2,1
In4SnS8,1
Li2MnCl4,1
Rb2U2O7,1
Er4Zr3O12,1
Ga12Ag2Te19,1
Ho2Zr8O19,1
CsHgCl3,1
KPb2Cl5,1
Rb6Pb5Cl16,1
TlBiF4,1
Ba2Bi6O11,1
Li5GeP3,1
K6U4O15,1
K2SrCl4,1
Tl8Cu4F11,1
Tl5SnF9,1
Sm2ZnS4,1
NbTl2PO6,1
Re2(HgO2)5,1
Cs4Zr3Te16,1
Mg(GaS2)2,1
SeCl4,1
Ba9(TaN6)2,1
K2MgSi5O12,1
Ba4LiW2N7,1
BaTi(SiO3)3,1
BaNaBO3,1
Ba2ErNbO6,1
BaYAgSe3,1
BaDy2ZnO5,1
CdS,1
Ca5B3O9F,1
In10(Pb2S7)3,1
Na5Lu(SiO3)4,1
Te3As2(SF4)3,1
TcC4IO4,1
P2CN3Cl5,1
Ta3In2Cl9,1
K3Yb(SO4)3,1
Re(TeBr2)2,1
B2Pb2S5,1
SrTeO3,1
BaNd2Ti3O10,1
K3Cu(CN)4,1
NaCSN,1
RbNb2PS10,1
TiTlPO5,1
BaNd2CuO5,1
CsRe6S8Br3,1
KC(NO2)3,1
RbHgC3(SN)3,1
Nb3Te4ClO15,1
BaCdP2O7,1
PtI4,1
Te2S4(NCl3)3,1
Cu2Bi8Pb6S19,1
Cs2Zr(SiO3)3,1
Sr3InRhO6,1
Sr3U11O36,1
KAl(SO4)2,1
Ba5Si8O21,1
ReTe3Br5,1
K2NaInF6,1
NaCdPO4,1
Na2Zn(SiO3)2,1
Os4C12SO12,1
Bi2Te2O7,1
P2Os4C15O13F6,1
Ir3(CO)8,1
LiLa2SbO6,1
Os6C17SO17,1
Ca2Zr5Ti2O16,1
Gd2Se2O,1
LiCa3Zr3TaO12,1
KBaAl3Si5O16,1
RbHF2,1
Na2CaSn2(GeO4)3,1
K6Ba3Ta12(Si2O13)4,1
Ca(InTe2)2,1
Ca3Al4Si8(ClO12)2,1
ScCuSe2,1
Na7Zr4Si5PO24,1
RbBiF3,1
Na3Sm17Si12(O25F)2,1
SrZr12B2I5Cl23,1
BaLa2MnS5,1
H(CO)2,1
Ba3Na7Ti3Nb7O30,1
Zn8B4H3O15F,1
Dy3NbO7,1
Cd2Bi6O11,1
Ho4Zr3O12,1
La2PbF8,1
RbAg4I5,1
ReSeCl,1
CIF5,1
NaClO2,1
Ba4Ta2TiZnO12,1
Yb(Ga3Te5)2,1
Sm2Th8O19,1
Na3HoTi2Nb2O12,1
Rb2Sc(NO3)5,1
LiCa4(BN2)3,1
Ba2NaReO6,1
NaZr2SN2Cl,1
Ca5Si2CO11,1
La3Ga5SnO14,1
Na27Ca3Al5(P2O7)12,1
Sr22Nb10O47,1
KMgP2H5O9,1
Ba3Si3N5ClO,1
NaCa2Mg2(AsO4)3,1
Ca5Al12Si12(AgO24)2,1
Mo3H24C8S13N2,1
CuAs2Pb6Cl7O6,1
KBa6Zn4(GaO3)7,1
SrMg2Al6(Si3O10)3,1
LaAl2Si5N9O,1
Rb5Te3H4NCl18,1
P6(Pb2O5)5,1
Tm4Zr3O12,1
Ca2AlH10IO8,1
Ba6Ti2Nb10Si8O51,1
LuCuSe2,1
Th10N9F13,1
H24C8Se(NO2)2,1
Mg3BH2O5F,1
BaNaIn2(PO4)3,1
Rb2SeO4,1
YCuSe2,1
HoPaO4,1
RbBiF4,1
ErPaO4,1
La3O2F5,1
KNbCl6,1
Li5TiP3,1
Zn7(SbO6)2,1
NaY2F7,1
Ba2As6O11,1
Ca(HoSe2)2,1
Ba4Er3F17,1
Nd4Ag2Se7,1
Bi7(S3Cl)3,1
Nd2PbS4,1
Li5AuO4,1
Na3NO2,1
Er2Zr8O19,1
K2Sn5Cl12,1
Na7Cu3O8,1
SrLa5F17,1
La2Te4Pb,1
BaBi4O7,1
Ho14(PbS8)3,1
Ba2P2O7,1
LiPrS2,1
Yb(HoS2)2,1
Tb2PbS4,1
Ta4Cu2O11,1
Sm2Zr8O19,1
TlSbS2,1
Gd2PbS4,1
Ca3Yb2Zr3Ti8O28,1
Te6H6S(Cl13O2)2,1
Na3Al2P2O8F3,1
Ca2LaF7,1
Sr6La2Ta3Al5O24,1
Na4Al3Si3NO13,1
CsTiZnOF5,1
TlNO2,1
BaSi2(NO)2,1
Li9CrN5,1
Dy10Ti6O27,1
Sc3NbO7,1
Tl9SbSe6,1
Bi2Te4Pb,1
Gd5AgS8,1
Si3NCl9,1
Li3InCl6,1
Ce3Nd2O9,1
Na2ThF6,1
H8(NO2)3,1
NaY3F10,1
Ba2PrF7,1
Na3La9B8O27,1
Tl9BiSe6,1
BaTa2O6,1
Na2ZnH4(SeO5)2,1
Rb2MgH4,1
HPbBrO,1
Cs3MnH5,1
TlP(HO2)2,1
Rb3ZnH5,1
SbH3OF6,1
AgH4WS4N,1
H8Pd(NCl3)2,1
SrHIO,1
CuH4Pb2(ClO2)2,1
Ba2MgH6,1
SrMgNiH4,1
SrYSi4N7,1
LiMg2H7Ru,1
K3ZnH5,1
ReF7,1
BaMg2FeH8,1
K2H4Pd,1
Ba2H6Pt,1
Na2AlH4ClO4,1
YbMgNiH4,1
Cs2H6Pt,1
MoP4C5S3O5,1
Ca4Mg3H14,1
ZnH2SO5,1
Mg3ReH7,1
SiH6(NF2)2,1
C7F3,1
TlV3(SeO6)2,1
Dy3BWO9,1
Tb3BWO9,1
ZnWO4,1
UAg3(AsO4)3,1
In2O3,1
Ba3La2(BO3)4,1
BaTiO3,1
Rb2H4Pd,1
CaH2CClO3,1
LiAlPHO5,1
H8C3N2O,1
HSO3F,1
KAlH2CO5,1
LiHS,1
Cs2MgH4,1
CdHClO,1
H3CSClO,1
CsCaH3,1
H8C2IN,1
K2PO3F,1
KHCO2,1
CaAl2Si(HO2)4,1
SnH4(NF)2,1
Cs3MgH5,1
Zn2SiH2O5,1
CsFeSiO4,1
P3CN4Cl7,1
AlInCl4,1
RbPPbS4,1
Mn2SnC10(ClO5)2,1
KC2N3,1
AsN9,1
Ag2WO4,1
LiCS(OF)3,1
HgN3,1
Zr(MoO4)2,1
LaTiNbBi2O9,1
Rb2ZnBr4,1
Cs4V2S4O3,1
ZnH4(BrO)2,1
KLiNd2(MoO4)4,1
NaTiPO5,1
Cd2GaAgS4,1
CsAl(H2N)4,1
Fe3H6C6(N3Cl4)2,1
Cd2H2SO6,1
HBr,1
Na3In(PO4)2,1
Cs2NiH12(SO7)2,1
Rb2CoH12(SeO7)2,1
Mn2H2SO6,1
H8W3Se(NO6)2,1
ReH8(NCl3)2,1
Ga2Ge4Pb3O14,1
SrMgH4,1
Mg2H6Os,1
ThO2,1
SrCrBi12(Mo2O17)2,1
Li4H6Ru,1
BaH5BrO3,1
PHSF2,1
Rb2H4Pt,1
LaH3(CO2)3,1
KP(HO)2,1
KLa(PO3)4,1
Bi32P10Pb3O76,1
CsVSO6,1
Ca4SmB3O10,1
CaSi2(BO4)2,1
Ba5Er8Zn4O21,1
UTl2(MoO5)2,1
Na2LaPS2O7,1
Na2V2ZnO7,1
FePbC5N6O,1
Os(CO)4,1
Cs2Th(PS3)3,1
Al2SiO5,1
Na2ZnGeO4,1
Rb2CuCl3,1
K3VO4,1
Na2Ca(SO4)2,1
RbTiAsO5,1
Cs2SnBr6,1
Tl2GePbS4,1
Co4Sn(CO)16,1
K2ZnCl4,1
Fe6Sn2(CO)23,1
Ru4C14O13,1
Se2S(NCl)2,1
Rb2V(PO4)2,1
K2PtS15,1
NaGeSbO5,1
Cs4Re6S13,1
CaMg3(CO3)4,1
MoPb5O8,1
CrFe2C10(Se2O5)2,1
HfTl8(MoO4)6,1
LiLaTiO4,1
OsC4ClO4,1
Re3S4Br,1
GdGaGe2O7,1
Ca5MnSi9(Pb3O11)3,1
CsXe3O3F13,1
VSb2NCl14,1
NaIn(MoO4)2,1
Te2Ru4(CO)11,1
K3WC4N4OF,1
TeAs(SeF3)2,1
Mn3Bi(CO)15,1
Ag9(BiO3)2,1
Ge2RuC4(Cl3O2)2,1
KNb(CuSe2)2,1
CaMgB2O5,1
Er2C(NO)2,1
RhSCl5,1
YbBeF4,1
K3HgN5O11,1
KSO2F,1
Cs2Tb6Te7N2,1
LiSc(SiO3)2,1
K2ZnH12(SO7)2,1
CuH2(CO2)2,1
SrH6(CO3)2,1
Li3BH6,1
Os3C8SO8,1
Ni(XeF8)2,1
RbVPO5,1
CsK5Ru2O9,1
Tl2FeC5N6O,1
Nb5P7O30,1
Tl4Fe(CN)6,1
BaCu4S3,1
RhC2ClO2,1
KZnPO4,1
RbTiPO5,1
K3Lu(SiO3)3,1
CaCu(GeO3)2,1
BaNa4Cu3F12,1
K2La2Ti3O10,1
Fe3C10SO10,1
La3SiAgSe7,1
SbP2SN3Cl10,1
CoSb(CO)3,1
Mn2Hg(CO)10,1
Na2S,1
RbBiC4(SN)4,1
KDy(PO3)4,1
La4Mo7O27,1
Pd2S9N4,1
Cs2CrO4,1
ZnBr2,1
Tl8(CdN14)3,1
Os2C6SeO6,1
KICl4,1
PBr7,1
SbP3C(NCl5)3,1
TaSbO4,1
P28Pb5I2,1
Hg4Pb2N6O19,1
Mg5V2(MoO8)2,1
C20Cl3,1
Na3MgC2BrO6,1
Ni3Mo2SeO11,1
Te2Mo3Se7Br10,1
Ca3ScCoO6,1
TlCr(MoO4)2,1
CSe(ClF)3,1
KAlGeO4,1
Hf(ClO4)4,1
GaBr2,1
GaRe2(CO)9,1
Rb3NiF7,1
W2C7Br4O7,1
AgC3N3O,1
KIn(MoO4)2,1
Se5SO3F,1
InCo3(CO)12,1
K2Rb2Re6S13,1
Fe3WC14(SO7)2,1
P6N7Cl9,1
Os7C19SO19,1
RuC3Br2O3,1
Os4C13SO13,1
BaLiBO3,1
KCo(CO)4,1
BaEr2ZnO5,1
K3Nd2(NO3)9,1
K2Ca(CO3)2,1
CaMgSiO4,1
CrC5SO7,1
ReTe5O6F25,1
MoPNCl6O,1
Ti2SCl12,1
Na6Mo10O33,1
Na4V2O7,1
KRb2ScF6,1
Li2Zn3(Ge3O8)2,1
Tm4(B2O5)3,1
Ba3(LaI6)2,1
BaLa2Cl8,1
Ta7InO19,1
Rb2Ge2O5,1
La2Hf2O7,1
Er(ReO4)3,1
K2LuPCO7,1
Ta2BeO6,1
Rb3LuO3,1
Li8HfO6,1
Li2Mg3Ti6O16,1
Lu2B4O9,1
K3BePCO7,1
Ca(SeO3)2,1
K3SrPCO7,1
Sm2Zr2O7,1
Li3MgPCO7,1
Ba2P6O17,1
Tm2P4O13,1
Li3CrBAsO7,1
Na3CuCSO7,1
Na3Fe(BO3)2,1
LuBiO3,1
Na2Sb4O11,1
CrCuO2,1
Ba2ZnF6,1
CaB2(H2O3)2,1
LaSeF,1
Na2FeAsCO7,1
TiV2CrO10,1
Na3Ni(BO3)2,1
GeWO4,1
TiMn5O12,1
K2CrPCO7,1
MnO2,1
Na3SiSnBO7,1
LiY3WO8,1
Gd2W4O15,1
Li2Cr4O13,1
Li2CrAsCO7,1
Sm2(WO4)3,1
La2BiO5,1
Nb6CdO16,1
AlZnH16N(OF)6,1
LiZr2(PO4)3,1
KTa2PO8,1
As5Pb3S10,1
Lu2P4O13,1
Li4MnV2WO12,1
CuPO3,1
La4MnO8,1
V2SiO7,1
DyErO3,1
AlGaO3,1
Cs3GaO3,1
LuScO3,1
Li2BiAsCO7,1
Er2Sb2O7,1
Ca2WO5,1
Li4Ti9O20,1
Sr3LaI9,1
Ga2(WO4)3,1
YTa7O19,1
Ba3LaI9,1
Sr2LaI7,1
TaIn3O7,1
Rb2Be2O3,1
Sr3LaBr9,1
Ba3La2Cl12,1
Mn5SnO12,1
Li2Mn2SnO6,1
V4CrCuO12,1
Li4Cr2C4SO16,1
Li3AlCoO4,1
ZrMnO3,1
Dy2W2O9,1
Li4MnSn3(PO4)4,1
Li6Cr(BO3)3,1
Ho2(SeO4)3,1
La2Zn2O5,1
NaSnAsCO7,1
Rb2UO4,1
Ca3W2O9,1
Li2CuSb(PO4)2,1
LaSCl,1
Li6Mn(BO3)3,1
Li6Fe(BO3)3,1
TmClO,1
Na3MnSiCO7,1
Li3Al2FeO6,1
LiV(SO4)3,1
Li2Ti3Sn(PO4)6,1
Al8SiO14,1
Ba4Tm6O13,1
Li2W(OF2)2,1
Li5WNO4,1
Li2FeSi3O8,1
Na2VCSO7,1
Tm2(WO4)3,1
Li2ScFe(SiO3)4,1
Li8TiO6,1
Li2Ti3MnO8,1
CrFe2(PO4)3,1
Sn2N2O,1
Li2Bi2(SO4)3,1
Na2AsAu,1
K5H(CN2)2,1
Li9P8W3O29,1
P8W3O29,1
LiFe2OF5,1
LiFe2F7,1
Li4Ni(BO3)2,1
Ca5Ge3O11,1
Na6Ni2C4SO16,1
Cr2O3,1
Na3Sb(PO4)2,1
Rb2O,1
Li3CrH12(CO3)6,1
Na5LiV6O18,1
BeCrO4,1
Li11Fe6F29,1
Ti3(WO6)2,1
Li4TiMn2Ni3(PO4)6,1
Li3Fe2F9,1
NaLi3Ti2Al2(PO4)6,1
LiTmO2,1
Li4V(BO3)2,1
LiVBO3,1
LiMnP2(HO4)2,1
LiV3P3(HO6)2,1
CsCu3S2,1
Li2VPHO5,1
Gd3SbO7,1
LaSmO3,1
B3H3SeO9,1
Li10Mn3F16,1
NaLiMnP2O7,1
Rb2MgO2,1
Li2MnPHO5,1
Cd(BO2)2,1
Ag2H16O9,1
Na2FeO2,1
