composition,n_entries
LaHoO3,2
Na2FeO4,2
Li2Mn2OF6,2
Tb3NbO7,2
ZrSeO,2
Li2MnH4(SO5)2,2
Li2Fe(CO3)2,2
Sm3NbO7,2
GaS,2
Li2UO4,2
LiIn(MoO4)2,2
Y2W2O9,2
CaF2,2
RbScO2,2
CrPbO4,2
Ca4Al6WO16,2
PbWO4,2
Li4Mn(OF)2,2
P4Se3,2
Sr(H2N)2,2
Tl2O,2
LiVF5,2
CNCl,2
Li2Ti3O7,2
SrBPO5,2
P2W2O11,2
Rb4SnO3,2
MnPO4,2
SbS(BrF2)3,2
Li4Bi2O5,2
NaBi5O8,2
Li2MnPO5,2
Li2MgBr4,2
ScBiO3,2
Li3Fe(BO3)2,2
P4S3I2,2
In2WO6,2
K2FeH4(SO5)2,2
Li2O2,2
Li2Ti3NiO8,2
Lu(HO)3,2
LiV2F7,2
Sr(HO)2,2
Li3SbS4,2
Ba2LaCl7,2
SnCl2,2
LiV(CO3)2,2
Ti3Zn2O8,2
Li7SbO6,2
Li2Ti(TeO4)3,2
Na3VS3O,2
Ag3SI,2
KUVO6,2
LiVO3,2
Ba(PO3)2,2
Ba3(SnP2)2,2
Gd3NbO7,2
LiBeH3,2
TiP2O7,2
SrSiO3,2
Li8Co(O2F)2,2
Be3N2,2
LaBiO3,2
Li5TaO5,2
Er2(WO4)3,2
Li2VOF5,2
La2O3,2
Hg2W2O7,2
NiH20S2(NO7)2,2
Li2V2O5F2,2
Li3VO3F2,2
NdF3,2
Li2V3(P2O7)2,2
KLiSO4,2
Ca2Ti6N2O11,2
Li4V7(PO4)6,2
Tm2WO6,2
H3NO4,2
Li4FeOF5,2
Ba(H8O5)2,2
H4SO5,2
H3NO,2
KSb4F13,2
Li2Co(CO3)2,2
Na2SnO3,2
Li8Mn(O2F)2,2
SmTlO2,2
KLiTi2(PO5)2,2
LuSBr,2
Sn2IF3,2
SbO2,2
K4PH5Se3O16,2
Na2Al2Si3(HO3)4,2
Ge7H18O23,2
NaV(PO4)2,2
Ba4LiNb3O12,2
Li2Cr(PO3)4,2
MnCO3,2
Ni2P2O7,2
Ba2Ti6N2O11,2
Y2HfO5,2
Sr2MgWO6,2
LiAlSiO4,2
Li3TiCo3O8,2
LiVGeO5,2
ErVO4,2
LiIO4,2
Ho2Sb2O7,2
Li8Fe(O2F)2,2
Li3MnF7,2
Ba2LaI7,2
Mg3P2,2
Na2MgSiO4,2
K3NaCr2O8,2
LuGaO3,2
PbF2,2
LiFe2(BO3)2,2
LiMn2F7,2
Li2U(WO5)2,2
TiSO5,2
LiCu5(PO4)2,2
LuAlO3,2
Li2Co(SiO3)2,2
LiVP2O7,2
Zn4As2O9,2
OsOF4,2
H4NClO4,2
Na2NiO2,2
Mg3P2(H22O15)2,2
CrH17N4Cl2O3,2
SrLaI5,2
Ba2Sc2O5,2
K2WO4,2
HoGaO3,2
VO2,2
Ca2B5H2ClO10,2
Li2Co2(SiO3)3,2
Li12Nb14ZnO42,2
Li3NbS4,2
H2SeO4,2
KSO4,2
Bi3O2F5,2
Li4MnF7,2
Ba2Y5Cl19,2
Sn2(SO4)3,2
Al2O3,2
InS,2
LiMnPO5,2
Ba2BiSbO6,2
LiNiP2O7,2
Nb2Bi2PbO9,2
Y2C(NO)2,2
NaMgFe(SO4)3,2
Nb2Cd2O7,2
BiAsO4,2
KHCO3,2
SrTa2Bi2O9,2
CaBr2,2
ZnCl2,2
H7SIO10,2
TaAlO4,2
PH6NO4,2
MgSO3,2
Hg2SeO3,2
HN,2
Ba4Ta2O9,2
SrGaBO4,2
LiCoSnO4,2
RbClO4,2
SnF2,2
ZrPbO3,2
Sr4Ta2O9,2
BaH4O3,2
SbSI,2
BaTi2O5,2
Li6Mn(OF)3,2
Li3CuF6,2
Zn3(BO3)2,2
Ba3Y2Br12,2
CuW3Br7,2
Tl2S,2
BaZnCl4,2
Hf3N2O3,2
Mg(IO3)2,2
Na2O,2
V2P2O7,2
Na2FePCO7,2
Na4BeAlSi4ClO12,2
ReO2F3,2
Li2CuF5,2
La2HfO5,2
Dy(ClO4)3,2
LiSnPCO7,2
LiCu2PO4,2
Li3SbS3,2
AgNO3,2
PBr2N,2
Na2Ti2O5,2
ThBr4,2
LiFePO4,2
Li2MnBr4,2
HgI2,2
P4WO13,2
BaCl2,2
LiMn(SiO3)2,2
ThCl4,2
MgO,2
Na8TiO6,2
Li2MnF5,2
MnF2,2
SbI3,2
CuCl,2
NbAgO3,2
HoTa3O9,2
V2CdO6,2
BiF3,2
Tm2GeO5,2
Li3VS4,2
Li2BiBO4,2
Cs3Sb2Cl9,2
Ho2WO6,2
Ga2PbO4,2
Li3Mn(OF)2,2
Li6Hf2O7,2
LiSi3BiO8,2
TiBr4,2
Si3N4,2
Cd(IO3)2,2
CdCl2,2
ZnPH5C2N4O3,2
KP(HO2)2,2
Li3CrSi2O7,2
Cd(PO3)2,2
BaB4O7,2
Li2AlFeO4,2
K2Pb(SO4)2,2
Li2CrSiO4,2
NaPH4O5,2
Li3Al(BO3)2,2
LiV(OF)2,2
TiSCl6O,2
LiSbWO6,2
Fe2C2O7,2
Rb3DyO3,2
SrLi2Nb2O7,2
LiFe(PO3)4,2
Li3SbO3,2
In2Si2O7,2
Gd2O3,2
Na2V3O7,2
LiV2OF5,2
CO2,2
LiInSe2,2
Ba3(ClO)2,2
Na2CuP2O7,2
Li3BiO4,2
Rb3ClO,2
LiCrSiO4,2
Li3Ni(BO3)2,2
H4CN2O,2
Zn2P2O7,2
LiP5,2
LiMnBO3,2
H6CN2O3,2
LiLa4MnO8,2
H5IO6,2
Se,2
RbCuC2,2
TlInS2,2
CaLaI5,2
Li2AlNiO4,2
H4CSN2,2
P2Pb3O8,2
Li2Te2O5,2
GaN,2
MoCl3,2
Sb5IO7,2
Li7VGeO8,2
TlBr,2
NaS,2
ZnO,2
Dy2WO6,2
LiLa5Ti8O24,2
Sm2WO6,2
Pb2SO5,2
ZrBrN,2
KAgCO3,2
Al11AgO17,2
Tb2(WO4)3,2
Cd(InSe2)2,2
Li4Cr3GaO8,2
LiFe(CO3)2,2
SO3,2
ZnTe,2
Li4Cr3CoO8,2
Li3Ti(PO4)2,2
La2Ti3O9,2
In2S3,2
NaSbCO2F3,2
LiTiP2O7,2
SnSe,2
KAsF6,2
Li2S,2
ScCuO2,2
BaSiO3,2
Ho2Ge2O7,2
YIO,2
GdOF,2
Sc(PO3)3,2
CrO3,2
Ba(CuS)2,2
CuI,2
Si3Os2,2
NbHO3,2
CdGeO3,2
Pr2O3,2
NaAlSiO4,2
Sr3Li3La5O12,2
ThSiO4,2
YbTiO3,2
Sn3(OF)2,2
TiCdO3,2
Mg2SnO4,2
LuCuPbSe3,2
Li2FeP2HO8,2
SbOF,2
SrNd2O4,2
Nb3O7F,2
BaCa2I6,2
SmAsO4,2
Hf(MoO4)2,2
Ca2MgSi2O7,2
CaGe2O5,2
SrTaNO2,2
Li2Cu3F8,2
TmHO2,2
YBrO,2
ZnSO4,2
Kr,2
Ta2Mn4O9,2
LiBO2,2
Ca3N2,2
RbN3,2
Li2Mn(PO3)4,2
TlSbO3,2
TiZn2O4,2
SmOF,2
UH12(NO7)2,2
LiMn(PO3)4,2
GaPO4,2
CaTeO3,2
La2SiO5,2
CsSn,2
LiCuO2,2
Li3Fe3(PO4)4,2
Gd(IO3)3,2
Li2Cr(PO3)5,2
MnBr2,2
LiMgN,2
GeO2,2
Y2GeO5,2
Li2TiO3,2
LiCoS2,2
NbPO5,2
Y2Hf2O7,2
Ce(WO4)2,2
Er2O3,2
CaH2(CO2)2,2
BC2N,2
LiAgF4,2
ReH22C4S4N8Cl8O3,2
NiP4O11,2
LiAlO2,2
KCN,2
MgCl2,2
Li3AlF6,2
SrSnO3,2
NaGdTiO4,2
Na4TiO4,2
ZnH3CNO3,2
HgH16(Br3N2)2,2
BH6N,2
Sr3MoN4,2
Na3YCl6,2
SiP2O7,2
Tb2Se3,2
NaZnAsO4,2
Si,2
Li2NiO3,2
ErP5O14,2
Gd3YO6,2
HoCuS2,2
Sr3La4O9,2
NaLiV2O6,2
Li7VN4,2
Er2Si2O7,2
H4IN,2
CaB3H5O8,2
Be2P2O7,2
HoTaO4,2
Cd2SnO4,2
Sm2Se3,2
Cd(GaO2)2,2
Rb2S2O7,2
Hg3TeO6,2
TiGa2O5,2
Li3TaO4,2
SnPSe3,2
Li2Si2O5,2
P,2
YTa3O9,2
Li2NiP2O7,2
Zn(CN)2,2
MnH6SO6,2
CsSnI3,2
LiTbSe2,2
RbNO3,2
La2Ti2O7,2
SnS2,2
Cs4CO4,2
As3Pb5ClO12,2
NaYF4,2
Dy2S3,2
SrLa2O4,2
Na2BeSiO4,2
Cd2SiO4,2
NaAl11O17,2
GaSe,2
VAgO3,2
SbO2F,2
TiBi2O5,2
KH(IO3)2,2
Sm3TaO7,2
Sr5Nb4O15,2
HgB4O7,2
BaBe2Si2O7,2
Sr2HfO4,2
Li3FeF6,2
TmGaO3,2
Zn(HO)2,2
BaYBr5,2
Pr2SiTeO4,2
LiFeF5,2
YSF,2
Tm(HO)3,2
NbTeCl9,2
K2SnBr6,2
RbVBr3,2
LiVPO5,2
ZnP2,2
LiLuO2,2
Ba6YBr15,2
Ni(IO3)2,2
LiSn2P4H3O16,2
LuHO2,2
H7ClO3,2
H5ClO6,2
H8PtO6,2
RbMnBr3,2
Ta2O5,2
NaHO,2
Rb2GeF6,2
