Strategy,AvgPrecision grouped,AvgPrecision random,AvgPrecision inflation,AvgPrecision inflation %,AvgPrecision CI low,AvgPrecision CI high,AvgPrecision g,AvgPrecision p,F2 grouped,F2 random,F2 inflation,F2 inflation %,F2 CI low,F2 CI high,F2 g,F2 p,ROC-AUC grouped,ROC-AUC random,ROC-AUC inflation,ROC-AUC inflation %,ROC-AUC CI low,ROC-AUC CI high,ROC-AUC g,ROC-AUC p,P@100 grouped,P@100 random,P@100 inflation,P@100 inflation %,P@100 CI low,P@100 CI high,P@100 g,P@100 p,AP_shared_comp grouped,AP_shared_comp random,AP_shared_comp inflation,AP_shared_comp inflation %,AP_shared_comp CI low,AP_shared_comp CI high,AP_shared_comp g,AP_shared_comp p,AP_unique_comp grouped,AP_unique_comp random,AP_unique_comp inflation,AP_unique_comp inflation %,AP_unique_comp CI low,AP_unique_comp CI high,AP_unique_comp g,AP_unique_comp p,AvgPrecision p_holm
None,0.42664773073316453,0.44631934064758366,0.01967160991441913,4.610738203298265,-0.014679844665110098,0.05331870646597883,0.3868061823213956,0.28084201086629845,0.2802958138113608,0.2880949844494291,0.007799170638068287,2.7824784580326023,-0.023269592586809787,0.04100610689572032,0.1646912051338132,0.5897385933186072,0.8771248527193193,0.8894033905277495,0.012278537808430245,1.3998620345055242,-0.003386076224887085,0.0286198675048644,0.5253595195170778,0.12486035998214667,0.41133333333333333,0.4386666666666667,0.027333333333333376,6.6450567260940145,-0.003999999999999948,0.05800000000000011,0.5917917213981537,0.07983359793185257,0.31342201947473847,0.41240525848159076,0.0989832390068523,31.581456584555717,0.01791362178014872,0.18465276428464733,0.7928018201612025,0.04648668639528603,0.4729032271984602,0.4685898353117504,-0.004313391886709761,-0.9121087864557093,-0.044158356058966876,0.03463458728520252,-0.07438562924715172,0.9009714934164412,1.0
ClassWeight,0.40873313037713493,0.4311026313785823,0.022369501001447356,5.472886668327372,-0.013613889245653196,0.05827609250282272,0.4204753436784234,0.2997583700887151,0.4839593348217513,0.5096539152803785,0.025694580458627214,5.309243692569929,-0.004070107087284817,0.05589330582820887,0.5817173651529222,0.1844100692216365,0.8745550591405457,0.8870854706380593,0.01253041149751366,1.4327756001809322,-0.0015106562426427464,0.027728395247091427,0.5805325863437322,0.15846460599820356,0.39933333333333326,0.4313333333333333,0.03200000000000003,8.013355592654433,-0.0013333333333334085,0.0646666666666667,0.6400032922064733,0.055625062300360135,0.2818772835478599,0.38858701087489333,0.10670972732703343,37.85680278450506,0.03338269602096605,0.1801456643103545,0.970422220166698,0.014396852751179462,0.4569025104583439,0.4512340367454215,-0.005668473712922395,-1.2406308967827817,-0.0440079920862975,0.03265750007039445,-0.09866911824274159,0.9669147771731937,1.0
B-SMOTE,0.3734559894271804,0.38129148302160226,0.007835493594421872,2.098103609595396,-0.02822257864970386,0.044877005129621075,0.14623385166832598,0.7089232340537643,0.45075021255355435,0.46266384594257615,0.011913633389021794,2.643067725144182,-0.011352890683190174,0.035029388225894874,0.34476207381446555,0.3195059648919748,0.8560596109685445,0.8624096725790011,0.006350061610456592,0.7417779707270784,-0.010138775436357212,0.02295370017593129,0.25755815777085816,0.48073111045562256,0.37866666666666665,0.3826666666666666,0.003999999999999948,1.0563380281690005,-0.03266666666666673,0.04001666666666646,0.07351859213370948,0.6615206610286475,0.25366336247374643,0.294028484680077,0.04036512220633054,15.912870432957474,-0.028278083159753387,0.1097727161806259,0.3985018754907333,0.1985058531538877,0.41588281148059764,0.41630839125203595,0.0004255797714383114,0.1023316568249578,-0.04006988304733422,0.04069693986493973,0.0072064666063508896,0.9338864180775845,1.0
SMOTE,0.37352406305046354,0.3726401402214488,-0.0008839228290147272,-0.236644145974421,-0.03608384098751044,0.03607960174746241,-0.016555756455919224,1.0,0.4452379447303476,0.45702348320440783,0.01178553847406022,2.6470202312154623,-0.009710872086680377,0.03232872086968626,0.3718889807472858,0.12486035998214667,0.8597010335695153,0.8636907126291468,0.003989679059631435,0.4640774994844565,-0.01058168491233499,0.0188100475272465,0.1829450637708069,0.9009714934164412,0.378,0.37666666666666665,-0.001333333333333353,-0.3527336860670246,-0.038000000000000145,0.03466666666666657,-0.02493792604366643,0.9502126378935104,0.2478648271175818,0.28671805080481566,0.03885322368723387,15.675166234377713,-0.027327220564802673,0.11115983927485959,0.3751850153626601,0.43064798984807773,0.4197508843714065,0.4081629010847337,-0.01158798328667282,-2.7606810892194504,-0.052036110435761465,0.02920173230659214,-0.192712534597541,0.4067868333984651,1.0
ADASYN,0.366201818995111,0.3703606340773438,0.004158815082232814,1.1356620493161276,-0.02892977245131866,0.0367143829818907,0.0838862623678816,0.7715511878155722,0.4388057828518225,0.45064674465383897,0.011840961802016492,2.6984516304824977,-0.008235527252441425,0.03128424676356826,0.4082017184764669,0.24548500120312422,0.859930872579831,0.8646223044334801,0.004691431853649064,0.5455591842603067,-0.010133936312577281,0.01991217919734218,0.21318567474290365,0.6186695570822622,0.37533333333333335,0.37200000000000005,-0.0033333333333332993,-0.8880994671403106,-0.04133333333333333,0.03466666666666657,-0.05851613705064072,0.9004968802912217,0.24149438517753902,0.28342090219075905,0.04192651701322003,17.361280256017952,-0.02954347040458252,0.11712724221217267,0.38180344530622523,0.3195059648919748,0.41162653272129085,0.407396546059135,-0.004229986662155849,-1.0276273091997061,-0.040199463993643374,0.03129329371830842,-0.07864526063171438,0.9338864180775845,1.0
RUS,0.35881478657259047,0.37541744440148217,0.016602657828891698,4.627082954824906,-0.0120941202745225,0.04619397931749369,0.38248828192769924,0.3195059648919748,0.4254138644205161,0.4436314204591731,0.01821755603865699,4.282313662595907,-0.0030923282949504973,0.03758352916605212,0.6048909931172519,0.042110616791807005,0.8619695143541062,0.8688638241270661,0.006894309772959906,0.7998322049853437,-0.00855177058374792,0.02164454928995496,0.3093010236182003,0.24548500120312422,0.38133333333333325,0.39133333333333337,0.01000000000000012,2.6223776223776545,-0.02533333333333332,0.045333333333333226,0.19114857340840904,0.5193516635963242,0.2768643079522801,0.31511762833750206,0.038253320385221945,13.816631211205175,-0.023377287029271214,0.10101296767635103,0.4130161533604396,0.3614963660708982,0.39342211433784985,0.40370887199791405,0.010286757660064205,2.6146871986027933,-0.02359935094591814,0.044458547913615684,0.20427760140482557,0.6186695570822622,1.0
